uid,semester,attendance
24-COMPD35-28,Semester 2,81
24-COMPD36-28,Semester 2,93
24-COMPD37-28,Semester 2,88
24-COMPD38-28,Semester 2,93
24-COMPD39-28,Semester 2,84
24-COMPD40-28,Semester 2,90
24-COMPD41-28,Semester 2,79
24-COMPD42-28,Semester 2,82
24-COMPD43-28,Semester 2,82
24-COMPD44-28,Semester 2,85
24-COMPD45-28,Semester 2,82
24-COMPD46-28,Semester 2,91
24-COMPD47-28,Semester 2,82
24-COMPD48-28,Semester 2,93
24-COMPD49-28,Semester 2,89
24-COMPD50-28,Semester 2,88
24-COMPD51-28,Semester 2,85
24-COMPD52-28,Semester 2,94
24-COMPD53-28,Semester 2,84
24-COMPD54-28,Semester 2,91
24-COMPD55-28,Semester 2,80
24-COMPD56-28,Semester 2,93
24-COMPD57-28,Semester 2,96
24-COMPD58-28,Semester 2,89
24-COMPD59-28,Semester 2,96
24-COMPD60-28,Semester 2,81
24-COMPD61-28,Semester 2,93
24-COMPD62-28,Semester 2,95
24-COMPD63-28,Semester 2,93
25-COMPD65-28,Semester 2,0
25-COMPD67-28,Semester 2,0
25-COMPD68-28,Semester 2,0
25-COMPD69-28,Semester 2,0
25-COMPD70-28,Semester 2,0
25-COMPD71-28,Semester 2,0
24-CS&E01-28,Semester 2,0
24-CS&E02-28,Semester 2,80
24-CS&E03-28,Semester 2,80
24-CS&E04-28,Semester 2,80
24-CS&E05-28,Semester 2,84
24-CS&E06-28,Semester 2,79
24-CS&E07-28,Semester 2,73
24-CS&E08-28,Semester 2,78
24-CS&E09-28,Semester 2,83
24-CS&E10-28,Semester 2,87
24-CS&E11-28,Semester 2,84
24-CS&E12-28,Semester 2,85
24-CS&E13-28,Semester 2,91
24-CS&E14-28,Semester 2,84
24-CS&E15-28,Semester 2,86
24-CS&E16-28,Semester 2,85
24-CS&E17-28,Semester 2,80
24-CS&E18-28,Semester 2,79
24-CS&E19-28,Semester 2,73
24-CS&E20-28,Semester 2,86
24-CS&E21-28,Semester 2,94
24-CS&E22-28,Semester 2,80
24-CS&E23-28,Semester 2,81
24-CS&E24-28,Semester 2,76
24-CS&E25-28,Semester 2,76
24-CS&E26-28,Semester 2,75
24-CS&E27-28,Semester 2,83
24-CS&E28-28,Semester 2,74
24-CS&E29-28,Semester 2,82
24-CS&E30-28,Semester 2,36
24-CS&E31-28,Semester 2,81
24-CS&E32-28,Semester 2,78
24-CS&E33-28,Semester 2,78
24-CS&E34-28,Semester 2,81
24-CS&E35-28,Semester 2,87
24-CS&E36-28,Semester 2,34
24-CS&E37-28,Semester 2,73
24-CS&E38-28,Semester 2,78
24-CS&E39-28,Semester 2,81
24-CS&E40-28,Semester 2,87
24-CS&E41-28,Semester 2,84
24-CS&E42-28,Semester 2,78
24-CS&E43-28,Semester 2,84
24-CS&E44-28,Semester 2,83
24-CS&E45-28,Semester 2,93
24-CS&E46-28,Semester 2,90
24-CS&E47-28,Semester 2,81
24-CS&E48-28,Semester 2,82
24-CS&E49-28,Semester 2,82
24-CS&E50-28,Semester 2,79
24-CS&E51-28,Semester 2,80
24-CS&E52-28,Semester 2,73
24-CS&E53-28,Semester 2,79
24-CS&E54-28,Semester 2,78
24-CS&E55-28,Semester 2,77
24-CS&E56-28,Semester 2,77
24-CS&E57-28,Semester 2,88
24-CS&E58-28,Semester 2,82
24-CS&E59-28,Semester 2,73
24-CS&E60-28,Semester 2,78
24-CS&E61-28,Semester 2,80
24-CS&E62-28,Semester 2,78
24-CS&E63-28,Semester 2,86
24-CS&E64-28,Semester 2,83
25-CS&E67-28,Semester 2,0
25-CS&E68-28,Semester 2,0
25-CS&E69-28,Semester 2,0
25-CS&E70-28,Semester 2,0
25-CS&E71-28,Semester 2,0
25-CS&E72-28,Semester 2,0
24-E&CS01-28,Semester 2,0
24-E&CS02-28,Semester 2,91
24-E&CS03-28,Semester 2,82
24-E&CS04-28,Semester 2,91
24-E&CS05-28,Semester 2,79
24-E&CS06-28,Semester 2,95
24-E&CS07-28,Semester 2,83
24-E&CS08-28,Semester 2,80
24-E&CS09-28,Semester 2,82
24-E&CS10-28,Semester 2,84
24-E&CS11-28,Semester 2,80
24-E&CS12-28,Semester 2,87
24-E&CS13-28,Semester 2,81
24-E&CS14-28,Semester 2,79
24-E&CS15-28,Semester 2,92
24-E&CS16-28,Semester 2,93
24-E&CS17-28,Semester 2,85
24-E&CS18-28,Semester 2,88
24-E&CS19-28,Semester 2,95
24-E&CS20-28,Semester 2,90
24-E&CS21-28,Semester 2,86
24-E&CS22-28,Semester 2,82
24-E&CS23-28,Semester 2,81
24-E&CS25-28,Semester 2,82
24-E&CS26-28,Semester 2,80
24-E&CS27-28,Semester 2,85
24-E&CS28-28,Semester 2,86
24-E&CS29-28,Semester 2,79
24-E&CS31-28,Semester 2,95
24-E&CS32-28,Semester 2,94
24-E&CS33-28,Semester 2,89
24-E&CS34-28,Semester 2,79
24-E&CS35-28,Semester 2,77
24-E&CS36-28,Semester 2,92
24-E&CS37-28,Semester 2,82
24-E&CS38-28,Semester 2,83
24-E&CS39-28,Semester 2,75
24-E&CS40-28,Semester 2,96
24-E&CS41-28,Semester 2,92
24-E&CS42-28,Semester 2,83
24-E&CS43-28,Semester 2,90
24-E&CS44-28,Semester 2,94
24-E&CS45-28,Semester 2,83
24-E&CS46-28,Semester 2,86
24-E&CS47-28,Semester 2,79
24-E&CS48-28,Semester 2,79
24-E&CS49-28,Semester 2,90
24-E&CS50-28,Semester 2,93
24-E&CS51-28,Semester 2,89
24-E&CS52-28,Semester 2,94
24-E&CS53-28,Semester 2,79
24-E&CS54-28,Semester 2,77
24-E&CS55-28,Semester 2,88
24-E&CS56-28,Semester 2,89
24-E&CS57-28,Semester 2,84
24-E&CS58-28,Semester 2,90
24-E&CS59-28,Semester 2,95
24-E&CS60-28,Semester 2,96
24-E&CS61-28,Semester 2,97
24-E&CS62-28,Semester 2,91
24-E&CS63-28,Semester 2,91
24-E&CS64-28,Semester 2,93
25-E&CS65-28,Semester 2,0
25-E&CS66-28,Semester 2,0
25-E&CS67-28,Semester 2,0
25-E&CS68-28,Semester 2,0
25-E&CS69-28,Semester 2,0
25-E&CS70-28,Semester 2,0
24-E&TCA01-28,Semester 2,0
24-E&TCA02-28,Semester 2,
24-E&TCA03-28,Semester 2,
24-E&TCA04-28,Semester 2,
24-E&TCA05-28,Semester 2,
24-E&TCA06-28,Semester 2,
24-E&TCA07-28,Semester 2,
24-E&TCA08-28,Semester 2,87
24-E&TCA09-28,Semester 2,79
24-E&TCA10-28,Semester 2,95
24-E&TCA11-28,Semester 2,94
24-E&TCA12-28,Semester 2,88
24-E&TCA13-28,Semester 2,92
24-E&TCA14-28,Semester 2,88
24-E&TCA15-28,Semester 2,91
24-E&TCA16-28,Semester 2,79
24-E&TCA17-28,Semester 2,87
24-E&TCA18-28,Semester 2,81
24-E&TCA19-28,Semester 2,86
24-E&TCA20-28,Semester 2,82
24-E&TCA21-28,Semester 2,81
24-E&TCA22-28,Semester 2,89
24-E&TCA23-28,Semester 2,79
24-E&TCA24-28,Semester 2,83
24-E&TCA25-28,Semester 2,89
24-E&TCA26-28,Semester 2,79
24-E&TCA27-28,Semester 2,82
24-E&TCA28-28,Semester 2,92
24-E&TCA29-28,Semester 2,92
24-E&TCA30-28,Semester 2,80
24-E&TCA31-28,Semester 2,75
24-E&TCA32-28,Semester 2,89
24-E&TCA33-28,Semester 2,90
24-E&TCA34-28,Semester 2,82
24-E&TCA35-28,Semester 2,91
24-E&TCA36-28,Semester 2,87
24-E&TCA37-28,Semester 2,81
24-E&TCA38-28,Semester 2,87
24-E&TCA39-28,Semester 2,80
24-E&TCA40-28,Semester 2,84
24-E&TCA41-28,Semester 2,85
24-E&TCA42-28,Semester 2,83
24-E&TCA43-28,Semester 2,89
24-E&TCA44-28,Semester 2,79
24-E&TCA45-28,Semester 2,90
24-E&TCA46-28,Semester 2,74
24-E&TCA47-28,Semester 2,82
24-E&TCA48-28,Semester 2,89
24-E&TCA49-28,Semester 2,85
24-E&TCA50-28,Semester 2,85
24-E&TCA51-28,Semester 2,87
24-E&TCA52-28,Semester 2,97
24-E&TCA53-28,Semester 2,87
24-E&TCA54-28,Semester 2,87
24-E&TCA55-28,Semester 2,97
24-E&TCA56-28,Semester 2,85
24-E&TCA57-28,Semester 2,82
24-E&TCA58-28,Semester 2,94
24-E&TCA59-28,Semester 2,97
24-E&TCA60-28,Semester 2,91
24-E&TCA61-28,Semester 2,78
24-E&TCA62-28,Semester 2,74
24-E&TCA63-28,Semester 2,89
25-E&TCA65-28,Semester 2,0
25-E&TCA66-28,Semester 2,0
25-E&TCA67-28,Semester 2,0
25-E&TCA68-28,Semester 2,0
25-E&TCA69-28,Semester 2,0
25-E&TCA70-28,Semester 2,0
25-E&TCA71-28,Semester 2,0
25-E&TCA72-28,Semester 2,0
24-E&TCB01-28,Semester 2,0
24-E&TCB02-28,Semester 2,0
24-E&TCB03-28,Semester 2,0
24-E&TCB04-28,Semester 2,0
24-E&TCB05-28,Semester 2,0
24-E&TCB06-28,Semester 2,0
24-E&TCB07-28,Semester 2,0
24-E&TCB08-28,Semester 2,96
24-E&TCB09-28,Semester 2,96
24-E&TCB10-28,Semester 2,77
24-E&TCB11-28,Semester 2,83
24-E&TCB12-28,Semester 2,90
24-E&TCB13-28,Semester 2,93
24-E&TCB14-28,Semester 2,83
24-E&TCB15-28,Semester 2,79
24-E&TCB16-28,Semester 2,94
24-E&TCB17-28,Semester 2,92
24-E&TCB18-28,Semester 2,82
24-E&TCB19-28,Semester 2,88
24-E&TCB20-28,Semester 2,81
24-E&TCB21-28,Semester 2,94
24-E&TCB22-28,Semester 2,95
24-E&TCB23-28,Semester 2,92
24-E&TCB24-28,Semester 2,79
24-E&TCB25-28,Semester 2,83
24-E&TCB26-28,Semester 2,94
24-E&TCB27-28,Semester 2,93
24-E&TCB28-28,Semester 2,78
24-E&TCB29-28,Semester 2,89
24-E&TCB30-28,Semester 2,94
24-E&TCB31-28,Semester 2,90
24-E&TCB32-28,Semester 2,83
24-E&TCB33-28,Semester 2,88
24-E&TCB34-28,Semester 2,88
24-E&TCB35-28,Semester 2,92
24-E&TCB36-28,Semester 2,93
24-E&TCB37-28,Semester 2,94
24-E&TCB38-28,Semester 2,91
24-E&TCB39-28,Semester 2,87
24-E&TCB40-28,Semester 2,93
24-E&TCB41-28,Semester 2,90
24-E&TCB42-28,Semester 2,80
24-E&TCB43-28,Semester 2,98
24-E&TCB44-28,Semester 2,81
24-E&TCB45-28,Semester 2,83
24-E&TCB46-28,Semester 2,88
24-E&TCB47-28,Semester 2,87
24-E&TCB48-28,Semester 2,90
24-E&TCB49-28,Semester 2,93
24-E&TCB50-28,Semester 2,83
24-E&TCB51-28,Semester 2,91
24-E&TCB52-28,Semester 2,76
24-E&TCB53-28,Semester 2,83
24-E&TCB54-28,Semester 2,88
24-E&TCB55-28,Semester 2,79
24-E&TCB56-28,Semester 2,83
24-E&TCB57-28,Semester 2,79
24-E&TCB58-28,Semester 2,82
24-E&TCB59-28,Semester 2,79
24-E&TCB60-28,Semester 2,83
24-E&TCB61-28,Semester 2,79
24-E&TCB62-28,Semester 2,83
24-E&TCB63-28,Semester 2,81
24-E&TCB65-28,Semester 2,78
25-E&TCB67-28,Semester 2,92
25-E&TCB68-28,Semester 2,88
25-E&TCB69-28,Semester 2,83
25-E&TCB70-28,Semester 2,80
25-E&TCB71-28,Semester 2,91
25-E&TCB72-28,Semester 2,79
25-E&TCB73-28,Semester 2,81
24-IoT01-28,Semester 2,0
24-IoT02-28,Semester 2,0
24-IoT03-28,Semester 2,0
24-IoT04-28,Semester 2,0
24-IoT05-28,Semester 2,0
24-IoT06-28,Semester 2,0
24-IoT07-28,Semester 2,0
24-IoT08-28,Semester 2,88
24-IoT09-28,Semester 2,81
24-IoT10-28,Semester 2,82
24-IoT11-28,Semester 2,84
24-IoT12-28,Semester 2,89
24-IoT13-28,Semester 2,75
24-IoT14-28,Semester 2,80
24-IoT15-28,Semester 2,82
24-IoT16-28,Semester 2,84
24-IoT17-28,Semester 2,84
24-IoT18-28,Semester 2,94
24-IoT19-28,Semester 2,80
24-IoT20-28,Semester 2,95
24-IoT21-28,Semester 2,95
24-IoT22-28,Semester 2,89
24-IoT23-28,Semester 2,78
24-IoT24-28,Semester 2,77
24-IoT25-28,Semester 2,79
24-IoT26-28,Semester 2,85
24-IoT27-28,Semester 2,76
24-IoT28-28,Semester 2,76
24-IoT29-28,Semester 2,88
24-IoT30-28,Semester 2,76
24-IoT31-28,Semester 2,84
24-IoT32-28,Semester 2,93
25-IoT33-28,Semester 2,77
25-IoT34-29,Semester 2,87
25-IoT35-30,Semester 2,78
24-ITA01-28,Semester 2,77
24-ITA02-28,Semester 2,79
24-ITA03-28,Semester 2,82
24-ITA04-28,Semester 2,81
24-ITA05-28,Semester 2,0
24-ITA06-28,Semester 2,0
24-ITA07-28,Semester 2,0
24-ITA08-28,Semester 2,95
24-ITA09-28,Semester 2,84
24-ITA10-28,Semester 2,87
24-ITA11-28,Semester 2,86
24-ITA12-28,Semester 2,90
24-ITA13-28,Semester 2,86
24-ITA14-28,Semester 2,92
24-ITA15-28,Semester 2,83
24-ITA16-28,Semester 2,95
24-ITA17-28,Semester 2,85
24-ITA18-28,Semester 2,90
24-ITA19-28,Semester 2,84
24-ITA20-28,Semester 2,94
24-ITA21-28,Semester 2,86
24-ITA22-28,Semester 2,95
24-ITA23-28,Semester 2,80
24-ITA24-28,Semester 2,87
24-ITA25-28,Semester 2,89
24-ITA26-28,Semester 2,86
24-ITA27-28,Semester 2,85
24-ITA28-28,Semester 2,87
24-ITA29-28,Semester 2,86
24-ITA30-28,Semester 2,90
24-ITA31-28,Semester 2,89
24-ITA32-28,Semester 2,92
24-ITA33-28,Semester 2,94
24-ITA34-28,Semester 2,87
24-ITA35-28,Semester 2,85
24-ITA36-28,Semester 2,92
24-ITA37-28,Semester 2,78
24-ITA38-28,Semester 2,94
24-ITA39-28,Semester 2,82
24-ITA40-28,Semester 2,82
24-ITA41-28,Semester 2,91
24-ITA42-28,Semester 2,93
24-ITA43-28,Semester 2,85
24-ITA44-28,Semester 2,86
24-ITA45-28,Semester 2,80
24-ITA46-28,Semester 2,95
24-ITA47-28,Semester 2,91
24-ITA48-28,Semester 2,86
24-ITA49-28,Semester 2,92
24-ITA50-28,Semester 2,95
24-ITA51-28,Semester 2,94
24-ITA52-28,Semester 2,82
24-ITA53-28,Semester 2,82
24-ITA54-28,Semester 2,82
24-ITA55-28,Semester 2,90
24-ITA56-28,Semester 2,89
24-ITA57-28,Semester 2,93
24-ITA58-28,Semester 2,85
24-ITA59-28,Semester 2,95
24-ITA60-28,Semester 2,88
24-ITA61-28,Semester 2,84
24-ITA62-28,Semester 2,88
24-ITA63-28,Semester 2,84
24-ITA64-28,Semester 2,80
25-ITA65-28,Semester 2,90
25-ITA66-29,Semester 2,93
25-ITA67-30,Semester 2,83
25-ITA68-31,Semester 2,92
25-ITA69-32,Semester 2,80
25-ITA70-33,Semester 2,91
24-ITB01-28,Semester 2,77
24-ITB02-28,Semester 2,0
24-ITB03-28,Semester 2,0
24-ITB04-28,Semester 2,0
24-ITB05-28,Semester 2,0
24-ITB06-28,Semester 2,0
24-ITB07-28,Semester 2,0
24-ITB08-28,Semester 2,94
24-ITB09-28,Semester 2,85
24-ITB10-28,Semester 2,96
24-ITB11-28,Semester 2,95
24-ITB12-28,Semester 2,92
24-ITB13-28,Semester 2,82
24-ITB14-28,Semester 2,92
24-ITB15-28,Semester 2,86
24-ITB16-28,Semester 2,86
24-ITB17-28,Semester 2,85
24-ITB18-28,Semester 2,82
24-ITB19-28,Semester 2,86
24-ITB20-28,Semester 2,88
24-ITB21-28,Semester 2,85
24-ITB22-28,Semester 2,84
24-ITB23-28,Semester 2,85
24-ITB24-28,Semester 2,89
24-ITB25-28,Semester 2,90
24-ITB26-28,Semester 2,82
24-ITB27-28,Semester 2,85
24-ITB28-28,Semester 2,85
24-ITB29-28,Semester 2,82
24-ITB30-28,Semester 2,87
24-ITB31-28,Semester 2,86
24-ITB32-28,Semester 2,91
24-ITB33-28,Semester 2,85
24-ITB34-28,Semester 2,85
24-ITB35-28,Semester 2,87
24-ITB36-28,Semester 2,84
24-ITB37-28,Semester 2,89
24-ITB38-28,Semester 2,79
24-ITB39-28,Semester 2,82
24-ITB40-28,Semester 2,91
24-ITB41-28,Semester 2,85
24-ITB42-28,Semester 2,83
24-ITB43-28,Semester 2,91
24-ITB44-28,Semester 2,87
24-ITB45-28,Semester 2,81
24-ITB46-28,Semester 2,79
24-ITB47-28,Semester 2,89
24-ITB48-28,Semester 2,94
24-ITB49-28,Semester 2,87
24-ITB50-28,Semester 2,87
24-ITB51-28,Semester 2,85
24-ITB52-28,Semester 2,90
24-ITB53-28,Semester 2,91
24-ITB54-28,Semester 2,87
24-ITB55-28,Semester 2,87
24-ITB56-28,Semester 2,86
24-ITB57-28,Semester 2,85
24-ITB58-28,Semester 2,82
24-ITB59-28,Semester 2,85
24-ITB60-28,Semester 2,82
24-ITB61-28,Semester 2,81
24-ITB62-28,Semester 2,79
24-ITB63-28,Semester 2,85
25-ITB64-28,Semester 2,0
25-ITB65-28,Semester 2,0
25-ITB66-28,Semester 2,0
25-ITB67-28,Semester 2,0
25-ITB68-28,Semester 2,0
25-ITB69-28,Semester 2,0
24-ITC01-28,Semester 2,87
24-ITC02-28,Semester 2,0
24-ITC03-28,Semester 2,0
24-ITC04-28,Semester 2,0
24-ITC05-28,Semester 2,0
24-ITC06-28,Semester 2,0
24-ITC07-28,Semester 2,0
24-ITC08-28,Semester 2,86
24-ITC09-28,Semester 2,84
24-ITC10-28,Semester 2,89
24-ITC11-28,Semester 2,90
24-ITC12-28,Semester 2,83
24-ITC13-28,Semester 2,91
24-ITC14-28,Semester 2,89
24-ITC15-28,Semester 2,96
24-ITC16-28,Semester 2,88
24-ITC17-28,Semester 2,95
24-ITC18-28,Semester 2,89
24-ITC19-28,Semester 2,92
24-ITC20-28,Semester 2,90
24-ITC21-28,Semester 2,82
24-ITC22-28,Semester 2,93
24-ITC23-28,Semester 2,87
24-ITC24-28,Semester 2,92
24-ITC25-28,Semester 2,92
24-ITC26-28,Semester 2,90
24-ITC27-28,Semester 2,88
24-ITC28-28,Semester 2,92
24-ITC29-28,Semester 2,92
24-ITC30-28,Semester 2,87
24-ITC31-28,Semester 2,90
24-ITC32-28,Semester 2,92
24-ITC33-28,Semester 2,91
24-ITC34-28,Semester 2,91
24-ITC35-28,Semester 2,85
24-ITC36-28,Semester 2,93
24-ITC37-28,Semester 2,91
24-ITC38-28,Semester 2,89
24-ITC39-28,Semester 2,94
24-ITC40-28,Semester 2,87
24-ITC41-28,Semester 2,90
24-ITC42-28,Semester 2,86
24-ITC43-28,Semester 2,89
24-ITC44-28,Semester 2,92
24-ITC45-28,Semester 2,93
24-ITC46-28,Semester 2,95
24-ITC47-28,Semester 2,91
24-ITC48-28,Semester 2,80
24-ITC49-28,Semester 2,92
24-ITC50-28,Semester 2,87
24-ITC51-28,Semester 2,94
24-ITC52-28,Semester 2,87
24-ITC53-28,Semester 2,88
24-ITC54-28,Semester 2,93
24-ITC55-28,Semester 2,87
24-ITC56-28,Semester 2,91
24-ITC57-28,Semester 2,92
24-ITC58-28,Semester 2,94
24-ITC59-28,Semester 2,89
24-ITC60-28,Semester 2,89
24-ITC61-28,Semester 2,90
24-ITC62-28,Semester 2,93
24-ITC63-28,Semester 2,85
25-ITC65-28,Semester 2,0
25-ITC66-28,Semester 2,0
25-ITC67-28,Semester 2,0
25-ITC68-28,Semester 2,0
25-ITC69-28,Semester 2,0
25-ITC70-28,Semester 2,0
24-MECH01-28,Semester 2,87
24-MECH02-28,Semester 2,0
24-MECH03-28,Semester 2,0
24-MECH04-28,Semester 2,0
24-MECH05-28,Semester 2,0
24-MECH06-28,Semester 2,0
24-MECH07-28,Semester 2,0
24-MECH08-28,Semester 2,92
24-MECH09-28,Semester 2,92
24-MECH10-28,Semester 2,78
24-MECH12-28,Semester 2,79
24-MECH13-28,Semester 2,78
24-MECH14-28,Semester 2,90
24-MECH15-28,Semester 2,86
24-MECH16-28,Semester 2,81
24-MECH17-28,Semester 2,79
24-MECH18-28,Semester 2,78
24-MECH19-28,Semester 2,78
24-MECH20-28,Semester 2,80
24-MECH21-28,Semester 2,82
24-MECH22-28,Semester 2,81
24-MECH23-28,Semester 2,95
24-MECH24-28,Semester 2,79
24-MECH25-28,Semester 2,78
24-MECH26-28,Semester 2,79
24-MECH27-28,Semester 2,79
24-MECH28-28,Semester 2,89
24-MECH29-28,Semester 2,79
24-MECH30-28,Semester 2,81
24-MECH31-28,Semester 2,81
24-MECH32-28,Semester 2,88
24-MECH33-28,Semester 2,87
24-MECH34-28,Semester 2,79
24-MECH35-28,Semester 2,79
24-MECH36-28,Semester 2,79
24-MECH37-28,Semester 2,79
24-MECH38-28,Semester 2,90
24-MECH39-28,Semester 2,81
24-MECH40-28,Semester 2,79
24-MECH41-28,Semester 2,79
24-MECH42-28,Semester 2,79
24-MECH43-28,Semester 2,81
24-MECH44-28,Semester 2,91
24-MECH45-28,Semester 2,79
24-MECH46-28,Semester 2,79
24-MECH47-28,Semester 2,85
24-MECH48-28,Semester 2,84
24-MECH49-28,Semester 2,83
24-MECH50-28,Semester 2,81
24-MECH51-28,Semester 2,92
24-MECH52-28,Semester 2,88
24-MECH53-28,Semester 2,81
24-MECH54-28,Semester 2,81
24-MECH55-28,Semester 2,80
24-MECH56-28,Semester 2,79
24-MECH57-28,Semester 2,81
24-MECH58-28,Semester 2,79
24-MECH59-28,Semester 2,81
24-MECH60-28,Semester 2,87
24-MECH61-28,Semester 2,82
24-MECH62-28,Semester 2,80
24-MECH63-28,Semester 2,78
25-MECH66-28,Semester 2,0
25-MECH67-28,Semester 2,0
25-MECH68-28,Semester 2,0
25-MECH69-28,Semester 2,0
25-MECH70-28,Semester 2,0
25-MECH71-28,Semester 2,0
25-MECH72-28,Semester 2,0
24-MME01-28,Semester 2,0
24-MME02-28,Semester 2,0
24-MME03-28,Semester 2,0
24-MME04-28,Semester 2,0
24-MME05-28,Semester 2,0
24-MME06-28,Semester 2,0
24-MME07-28,Semester 2,0
24-MME08-28,Semester 2,80
24-MME09-28,Semester 2,76
24-MME10-28,Semester 2,87
24-MME11-28,Semester 2,78
24-MME12-28,Semester 2,82
24-MME13-28,Semester 2,82
24-MME14-28,Semester 2,79
24-MME15-28,Semester 2,80
24-MME16-28,Semester 2,81
24-MME17-28,Semester 2,78
24-MME18-28,Semester 2,79
24-MME19-28,Semester 2,86
24-MME20-28,Semester 2,88
24-MME21-28,Semester 2,80
24-MME22-28,Semester 2,82
24-MME23-28,Semester 2,79
24-MME24-28,Semester 2,81
24-MME25-28,Semester 2,82
24-MME26-28,Semester 2,82
24-MME27-28,Semester 2,86
24-MME28-28,Semester 2,79
24-MME29-28,Semester 2,79
24-MME30-28,Semester 2,85
24-MME32-28,Semester 2,82
24-MME33-28,Semester 2,79
24-MME34-28,Semester 2,80
24-MME35-28,Semester 2,80
24-MME36-28,Semester 2,86
24-MME37-28,Semester 2,84
24-MME38-28,Semester 2,76
24-MME39-28,Semester 2,76
24-MME40-28,Semester 2,81
24-MME41-28,Semester 2,81
24-MME42-28,Semester 2,80
24-MME43-28,Semester 2,82
24-MME44-28,Semester 2,73
24-MME45-28,Semester 2,79
24-MME46-28,Semester 2,78
24-MME47-28,Semester 2,81
24-MME48-28,Semester 2,86
24-MME49-28,Semester 2,76
24-MME51-28,Semester 2,82
24-MME52-28,Semester 2,73
24-MME53-28,Semester 2,85
24-MME54-28,Semester 2,80
24-MME55-28,Semester 2,73
24-MME56-28,Semester 2,80
24-MME57-28,Semester 2,80
24-MME58-28,Semester 2,83
24-MME59-28,Semester 2,89
24-MME60-28,Semester 2,85
24-MME61-28,Semester 2,84
25-MME63-28,Semester 2,0
25-MME64-28,Semester 2,0
25-MME65-28,Semester 2,0
25-MME66-28,Semester 2,0
25-MME67-28,Semester 2,0
25-MME68-28,Semester 2,0
25-MME69-28,Semester 2,0
,,
,,
,,
